Bins,Hist,Dset,Energy,Variable,yMin,yMax,runType
0.34500001,0.088564058,Ag-Ag-6kV,2.98,fractionInTransverseRms,2.1,3.2,CDL
0.35500001,0.084866724,Ag-Ag-6kV,2.98,fractionInTransverseRms,2.1,3.2,CDL
0.36500001,0.082029235,Ag-Ag-6kV,2.98,fractionInTransverseRms,2.1,3.2,CDL
0.37500001,0.061994841,Ag-Ag-6kV,2.98,fractionInTransverseRms,2.1,3.2,CDL
0.38500001,0.053568358,Ag-Ag-6kV,2.98,fractionInTransverseRms,2.1,3.2,CDL
0.39500001,0.039638865,Ag-Ag-6kV,2.98,fractionInTransverseRms,2.1,3.2,CDL
0.40500001,0.031814273,Ag-Ag-6kV,2.98,fractionInTransverseRms,2.1,3.2,CDL
0.41500001,0.023473775,Ag-Ag-6kV,2.98,fractionInTransverseRms,2.1,3.2,CDL
0.42500001,0.014015477,Ag-Ag-6kV,2.98,fractionInTransverseRms,2.1,3.2,CDL
0.43500001,0.0094582975,Ag-Ag-6kV,2.98,fractionInTransverseRms,2.1,3.2,CDL
0.44500001,0.0063628547,Ag-Ag-6kV,2.98,fractionInTransverseRms,2.1,3.2,CDL
0.45500001,0.0031814273,Ag-Ag-6kV,2.98,fractionInTransverseRms,2.1,3.2,CDL
0.46500001,0.0014617369,Ag-Ag-6kV,2.98,fractionInTransverseRms,2.1,3.2,CDL
0.47500001,0.0013757524,Ag-Ag-6kV,2.98,fractionInTransverseRms,2.1,3.2,CDL
0.48500001,0.00051590714,Ag-Ag-6kV,2.98,fractionInTransverseRms,2.1,3.2,CDL
0.49500001,0.00017196905,Ag-Ag-6kV,2.98,fractionInTransverseRms,2.1,3.2,CDL
0.50500001,0,Ag-Ag-6kV,2.98,fractionInTransverseRms,2.1,3.2,CDL
0.51500001,0,Ag-Ag-6kV,2.98,fractionInTransverseRms,2.1,3.2,CDL
0.52500001,0,Ag-Ag-6kV,2.98,fractionInTransverseRms,2.1,3.2,CDL
0.53500001,8.5984523e-05,Ag-Ag-6kV,2.98,fractionInTransverseRms,2.1,3.2,CDL
0.54500001,0,Ag-Ag-6kV,2.98,fractionInTransverseRms,2.1,3.2,CDL
0.55500001,8.5984523e-05,Ag-Ag-6kV,2.98,fractionInTransverseRms,2.1,3.2,CDL
0.56500001,0,Ag-Ag-6kV,2.98,fractionInTransverseRms,2.1,3.2,CDL
0.57500001,0,Ag-Ag-6kV,2.98,fractionInTransverseRms,2.1,3.2,CDL
0.58500001,0,Ag-Ag-6kV,2.98,fractionInTransverseRms,2.1,3.2,CDL
0.59500001,0,Ag-Ag-6kV,2.98,fractionInTransverseRms,2.1,3.2,CDL
0.60500001,0,Ag-Ag-6kV,2.98,fractionInTransverseRms,2.1,3.2,CDL
0.61500001,0,Ag-Ag-6kV,2.98,fractionInTransverseRms,2.1,3.2,CDL
0.62500001,0,Ag-Ag-6kV,2.98,fractionInTransverseRms,2.1,3.2,CDL
0.63500001,0,Ag-Ag-6kV,2.98,fractionInTransverseRms,2.1,3.2,CDL
0.64500001,0,Ag-Ag-6kV,2.98,fractionInTransverseRms,2.1,3.2,CDL
0.65500001,0,Ag-Ag-6kV,2.98,fractionInTransverseRms,2.1,3.2,CDL
0.66500001,0,Ag-Ag-6kV,2.98,fractionInTransverseRms,2.1,3.2,CDL
0.67500001,0,Ag-Ag-6kV,2.98,fractionInTransverseRms,2.1,3.2,CDL
0.68500001,0,Ag-Ag-6kV,2.98,fractionInTransverseRms,2.1,3.2,CDL
0.69500001,0,Ag-Ag-6kV,2.98,fractionInTransverseRms,2.1,3.2,CDL
0.70500001,0,Ag-Ag-6kV,2.98,fractionInTransverseRms,2.1,3.2,CDL
0.71500001,0,Ag-Ag-6kV,2.98,fractionInTransverseRms,2.1,3.2,CDL
0.72500001,0,Ag-Ag-6kV,2.98,fractionInTransverseRms,2.1,3.2,CDL
0.73500001,0,Ag-Ag-6kV,2.98,fractionInTransverseRms,2.1,3.2,CDL
0.74500001,0,Ag-Ag-6kV,2.98,fractionInTransverseRms,2.1,3.2,CDL
0.75500001,0,Ag-Ag-6kV,2.98,fractionInTransverseRms,2.1,3.2,CDL
0.76500001,0,Ag-Ag-6kV,2.98,fractionInTransverseRms,2.1,3.2,CDL
0.77500001,0,Ag-Ag-6kV,2.98,fractionInTransverseRms,2.1,3.2,CDL
0.78500001,0,Ag-Ag-6kV,2.98,fractionInTransverseRms,2.1,3.2,CDL
0.79500001,0,Ag-Ag-6kV,2.98,fractionInTransverseRms,2.1,3.2,CDL
-0.0049999999,0,Al-Al-4kV,1.49,fractionInTransverseRms,1.2,2.1,CDL
0.0050000003,0,Al-Al-4kV,1.49,fractionInTransverseRms,1.2,2.1,CDL
0.015,0,Al-Al-4kV,1.49,fractionInTransverseRms,1.2,2.1,CDL
0.025000001,0,Al-Al-4kV,1.49,fractionInTransverseRms,1.2,2.1,CDL
0.035000001,0,Al-Al-4kV,1.49,fractionInTransverseRms,1.2,2.1,CDL
0.045000001,0,Al-Al-4kV,1.49,fractionInTransverseRms,1.2,2.1,CDL
0.055000001,0,Al-Al-4kV,1.49,fractionInTransverseRms,1.2,2.1,CDL
0.065000001,0.00010956503,Al-Al-4kV,1.49,fractionInTransverseRms,1.2,2.1,CDL
0.075000001,0.00021913005,Al-Al-4kV,1.49,fractionInTransverseRms,1.2,2.1,CDL
0.085000001,0,Al-Al-4kV,1.49,fractionInTransverseRms,1.2,2.1,CDL
0.095000002,0.00043826011,Al-Al-4kV,1.49,fractionInTransverseRms,1.2,2.1,CDL
0.105,0.00076695519,Al-Al-4kV,1.49,fractionInTransverseRms,1.2,2.1,CDL
0.115,0.0010956503,Al-Al-4kV,1.49,fractionInTransverseRms,1.2,2.1,CDL
0.125,0.00098608524,Al-Al-4kV,1.49,fractionInTransverseRms,1.2,2.1,CDL
0.135,0.0023008656,Al-Al-4kV,1.49,fractionInTransverseRms,1.2,2.1,CDL
0.145,0.0032869508,Al-Al-4kV,1.49,fractionInTransverseRms,1.2,2.1,CDL
0.155,0.0035060809,Al-Al-4kV,1.49,fractionInTransverseRms,1.2,2.1,CDL
0.165,0.004273036,Al-Al-4kV,1.49,fractionInTransverseRms,1.2,2.1,CDL
0.175,0.007998247,Al-Al-4kV,1.49,fractionInTransverseRms,1.2,2.1,CDL
0.185,0.008326942,Al-Al-4kV,1.49,fractionInTransverseRms,1.2,2.1,CDL
0.195,0.013038238,Al-Al-4kV,1.49,fractionInTransverseRms,1.2,2.1,CDL
0.205,0.014462584,Al-Al-4kV,1.49,fractionInTransverseRms,1.2,2.1,CDL
0.215,0.018845185,Al-Al-4kV,1.49,fractionInTransverseRms,1.2,2.1,CDL
0.225,0.022789526,Al-Al-4kV,1.49,fractionInTransverseRms,1.2,2.1,CDL
0.235,0.026076476,Al-Al-4kV,1.49,fractionInTransverseRms,1.2,2.1,CDL
0.245,0.039333845,Al-Al-4kV,1.49,fractionInTransverseRms,1.2,2.1,CDL
0.255,0.035499069,Al-Al-4kV,1.49,fractionInTransverseRms,1.2,2.1,CDL
0.265,0.04273036,Al-Al-4kV,1.49,fractionInTransverseRms,1.2,2.1,CDL
0.275,0.046784266,Al-Al-4kV,1.49,fractionInTransverseRms,1.2,2.1,CDL
0.285,0.053686863,Al-Al-4kV,1.49,fractionInTransverseRms,1.2,2.1,CDL
0.295,0.054782513,Al-Al-4kV,1.49,fractionInTransverseRms,1.2,2.1,CDL
0.305,0.06037033,Al-Al-4kV,1.49,fractionInTransverseRms,1.2,2.1,CDL
0.315,0.054892078,Al-Al-4kV,1.49,fractionInTransverseRms,1.2,2.1,CDL
0.325,0.068259012,Al-Al-4kV,1.49,fractionInTransverseRms,1.2,2.1,CDL
0.335,0.049632957,Al-Al-4kV,1.49,fractionInTransverseRms,1.2,2.1,CDL
0.34500001,0.054892078,Al-Al-4kV,1.49,fractionInTransverseRms,1.2,2.1,CDL
0.35500001,0.049852087,Al-Al-4kV,1.49,fractionInTransverseRms,1.2,2.1,CDL
0.36500001,0.054892078,Al-Al-4kV,1.49,fractionInTransverseRms,1.2,2.1,CDL
0.37500001,0.038676454,Al-Al-4kV,1.49,fractionInTransverseRms,1.2,2.1,CDL
0.38500001,0.035279939,Al-Al-4kV,1.49,fractionInTransverseRms,1.2,2.1,CDL
0.39500001,0.032431248,Al-Al-4kV,1.49,fractionInTransverseRms,1.2,2.1,CDL
0.40500001,0.023008656,Al-Al-4kV,1.49,fractionInTransverseRms,1.2,2.1,CDL
0.41500001,0.02026953,Al-Al-4kV,1.49,fractionInTransverseRms,1.2,2.1,CDL
0.42500001,0.014572149,Al-Al-4kV,1.49,fractionInTransverseRms,1.2,2.1,CDL
0.43500001,0.013586063,Al-Al-4kV,1.49,fractionInTransverseRms,1.2,2.1,CDL
0.44500001,0.008107812,Al-Al-4kV,1.49,fractionInTransverseRms,1.2,2.1,CDL
0.45500001,0.0067930317,Al-Al-4kV,1.49,fractionInTransverseRms,1.2,2.1,CDL
0.46500001,0.0046017311,Al-Al-4kV,1.49,fractionInTransverseRms,1.2,2.1,CDL
0.47500001,0.0023008656,Al-Al-4kV,1.49,fractionInTransverseRms,1.2,2.1,CDL
0.48500001,0.0021913005,Al-Al-4kV,1.49,fractionInTransverseRms,1.2,2.1,CDL
0.49500001,0.0013147803,Al-Al-4kV,1.49,fractionInTransverseRms,1.2,2.1,CDL
0.50500001,0.0014243453,Al-Al-4kV,1.49,fractionInTransverseRms,1.2,2.1,CDL
0.51500001,0.00032869508,Al-Al-4kV,1.49,fractionInTransverseRms,1.2,2.1,CDL
0.52500001,0.00010956503,Al-Al-4kV,1.49,fractionInTransverseRms,1.2,2.1,CDL
0.53500001,0.00043826011,Al-Al-4kV,1.49,fractionInTransverseRms,1.2,2.1,CDL
0.54500001,0.00021913005,Al-Al-4kV,1.49,fractionInTransverseRms,1.2,2.1,CDL
0.55500001,0,Al-Al-4kV,1.49,fractionInTransverseRms,1.2,2.1,CDL
0.56500001,0.00021913005,Al-Al-4kV,1.49,fractionInTransverseRms,1.2,2.1,CDL
0.57500001,0,Al-Al-4kV,1.49,fractionInTransverseRms,1.2,2.1,CDL
0.58500001,0,Al-Al-4kV,1.49,fractionInTransverseRms,1.2,2.1,CDL
0.59500001,0,Al-Al-4kV,1.49,fractionInTransverseRms,1.2,2.1,CDL
0.60500001,0,Al-Al-4kV,1.49,fractionInTransverseRms,1.2,2.1,CDL
0.61500001,0,Al-Al-4kV,1.49,fractionInTransverseRms,1.2,2.1,CDL
0.62500001,0,Al-Al-4kV,1.49,fractionInTransverseRms,1.2,2.1,CDL
0.63500001,0,Al-Al-4kV,1.49,fractionInTransverseRms,1.2,2.1,CDL
0.64500001,0,Al-Al-4kV,1.49,fractionInTransverseRms,1.2,2.1,CDL
0.65500001,0,Al-Al-4kV,1.49,fractionInTransverseRms,1.2,2.1,CDL
0.66500001,0,Al-Al-4kV,1.49,fractionInTransverseRms,1.2,2.1,CDL
0.67500001,0,Al-Al-4kV,1.49,fractionInTransverseRms,1.2,2.1,CDL
0.68500001,0,Al-Al-4kV,1.49,fractionInTransverseRms,1.2,2.1,CDL
0.69500001,0,Al-Al-4kV,1.49,fractionInTransverseRms,1.2,2.1,CDL
0.70500001,0,Al-Al-4kV,1.49,fractionInTransverseRms,1.2,2.1,CDL
0.71500001,0,Al-Al-4kV,1.49,fractionInTransverseRms,1.2,2.1,CDL
0.72500001,0,Al-Al-4kV,1.49,fractionInTransverseRms,1.2,2.1,CDL
0.73500001,0,Al-Al-4kV,1.49,fractionInTransverseRms,1.2,2.1,CDL
0.74500001,0,Al-Al-4kV,1.49,fractionInTransverseRms,1.2,2.1,CDL
0.75500001,0,Al-Al-4kV,1.49,fractionInTransverseRms,1.2,2.1,CDL
0.76500001,0,Al-Al-4kV,1.49,fractionInTransverseRms,1.2,2.1,CDL
0.77500001,0,Al-Al-4kV,1.49,fractionInTransverseRms,1.2,2.1,CDL
0.78500001,0,Al-Al-4kV,1.49,fractionInTransverseRms,1.2,2.1,CDL
0.79500001,0,Al-Al-4kV,1.49,fractionInTransverseRms,1.2,2.1,CDL
-0.0049999999,0.040432451,C-EPIC-0.6kV,0.277,fractionInTransverseRms,0,0.4,CDL
0.0050000003,0,C-EPIC-0.6kV,0.277,fractionInTransverseRms,0,0.4,CDL
0.015,0,C-EPIC-0.6kV,0.277,fractionInTransverseRms,0,0.4,CDL
0.025000001,0.00087896634,C-EPIC-0.6kV,0.277,fractionInTransverseRms,0,0.4,CDL
0.035000001,0.0021974158,C-EPIC-0.6kV,0.277,fractionInTransverseRms,0,0.4,CDL
0.045000001,0.0072954206,C-EPIC-0.6kV,0.277,fractionInTransverseRms,0,0.4,CDL
0.055000001,0.013711875,C-EPIC-0.6kV,0.277,fractionInTransverseRms,0,0.4,CDL
0.065000001,0.011778149,C-EPIC-0.6kV,0.277,fractionInTransverseRms,0,0.4,CDL
0.075000001,0.015381911,C-EPIC-0.6kV,0.277,fractionInTransverseRms,0,0.4,CDL
0.085000001,0.010196009,C-EPIC-0.6kV,0.277,fractionInTransverseRms,0,0.4,CDL
0.095000002,0.015909291,C-EPIC-0.6kV,0.277,fractionInTransverseRms,0,0.4,CDL
0.105,0.024083678,C-EPIC-0.6kV,0.277,fractionInTransverseRms,0,0.4,CDL
0.115,0.030236442,C-EPIC-0.6kV,0.277,fractionInTransverseRms,0,0.4,CDL
0.125,0.013711875,C-EPIC-0.6kV,0.277,fractionInTransverseRms,0,0.4,CDL
0.135,0.0261053,C-EPIC-0.6kV,0.277,fractionInTransverseRms,0,0.4,CDL
0.145,0.020919399,C-EPIC-0.6kV,0.277,fractionInTransverseRms,0,0.4,CDL
0.155,0.012745012,C-EPIC-0.6kV,0.277,fractionInTransverseRms,0,0.4,CDL
0.165,0.034279687,C-EPIC-0.6kV,0.277,fractionInTransverseRms,0,0.4,CDL
0.175,0.030060649,C-EPIC-0.6kV,0.277,fractionInTransverseRms,0,0.4,CDL
0.185,0.029269579,C-EPIC-0.6kV,0.277,fractionInTransverseRms,0,0.4,CDL
0.195,0.035422343,C-EPIC-0.6kV,0.277,fractionInTransverseRms,0,0.4,CDL
0.205,0.032170168,C-EPIC-0.6kV,0.277,fractionInTransverseRms,0,0.4,CDL
0.215,0.031554891,C-EPIC-0.6kV,0.277,fractionInTransverseRms,0,0.4,CDL
0.225,0.022853125,C-EPIC-0.6kV,0.277,fractionInTransverseRms,0,0.4,CDL
0.235,0.032697548,C-EPIC-0.6kV,0.277,fractionInTransverseRms,0,0.4,CDL
0.245,0.055374879,C-EPIC-0.6kV,0.277,fractionInTransverseRms,0,0.4,CDL
0.255,0.021798365,C-EPIC-0.6kV,0.277,fractionInTransverseRms,0,0.4,CDL
0.265,0.035949723,C-EPIC-0.6kV,0.277,fractionInTransverseRms,0,0.4,CDL
0.275,0.018985673,C-EPIC-0.6kV,0.277,fractionInTransverseRms,0,0.4,CDL
0.285,0.04491518,C-EPIC-0.6kV,0.277,fractionInTransverseRms,0,0.4,CDL
0.295,0.028214819,C-EPIC-0.6kV,0.277,fractionInTransverseRms,0,0.4,CDL
0.305,0.02663268,C-EPIC-0.6kV,0.277,fractionInTransverseRms,0,0.4,CDL
0.315,0.024523161,C-EPIC-0.6kV,0.277,fractionInTransverseRms,0,0.4,CDL
0.325,0.049310011,C-EPIC-0.6kV,0.277,fractionInTransverseRms,0,0.4,CDL
0.335,0.0010547596,C-EPIC-0.6kV,0.277,fractionInTransverseRms,0,0.4,CDL
0.34500001,0.025050541,C-EPIC-0.6kV,0.277,fractionInTransverseRms,0,0.4,CDL
0.35500001,0.023732091,C-EPIC-0.6kV,0.277,fractionInTransverseRms,0,0.4,CDL
0.36500001,0.024083678,C-EPIC-0.6kV,0.277,fractionInTransverseRms,0,0.4,CDL
0.37500001,0.011866046,C-EPIC-0.6kV,0.277,fractionInTransverseRms,0,0.4,CDL
0.38500001,0.011690252,C-EPIC-0.6kV,0.277,fractionInTransverseRms,0,0.4,CDL
0.39500001,0.017843017,C-EPIC-0.6kV,0.277,fractionInTransverseRms,0,0.4,CDL
0.40500001,0.0092291465,C-EPIC-0.6kV,0.277,fractionInTransverseRms,0,0.4,CDL
0.41500001,0.010987079,C-EPIC-0.6kV,0.277,fractionInTransverseRms,0,0.4,CDL
0.42500001,0.0094049398,C-EPIC-0.6kV,0.277,fractionInTransverseRms,0,0.4,CDL
0.43500001,0.011602356,C-EPIC-0.6kV,0.277,fractionInTransverseRms,0,0.4,CDL
0.44500001,0.0079985937,C-EPIC-0.6kV,0.277,fractionInTransverseRms,0,0.4,CDL
0.45500001,0.0038674519,C-EPIC-0.6kV,0.277,fractionInTransverseRms,0,0.4,CDL
0.46500001,0.0076470071,C-EPIC-0.6kV,0.277,fractionInTransverseRms,0,0.4,CDL
0.47500001,0.002636899,C-EPIC-0.6kV,0.277,fractionInTransverseRms,0,0.4,CDL
0.48500001,0,C-EPIC-0.6kV,0.277,fractionInTransverseRms,0,0.4,CDL
0.49500001,0.010196009,C-EPIC-0.6kV,0.277,fractionInTransverseRms,0,0.4,CDL
0.50500001,0,C-EPIC-0.6kV,0.277,fractionInTransverseRms,0,0.4,CDL
0.51500001,0.0007910697,C-EPIC-0.6kV,0.277,fractionInTransverseRms,0,0.4,CDL
0.52500001,0.0031642788,C-EPIC-0.6kV,0.277,fractionInTransverseRms,0,0.4,CDL
0.53500001,0.0011426562,C-EPIC-0.6kV,0.277,fractionInTransverseRms,0,0.4,CDL
0.54500001,0.0015821394,C-EPIC-0.6kV,0.277,fractionInTransverseRms,0,0.4,CDL
0.55500001,0.0010547596,C-EPIC-0.6kV,0.277,fractionInTransverseRms,0,0.4,CDL
0.56500001,0.0013184495,C-EPIC-0.6kV,0.277,fractionInTransverseRms,0,0.4,CDL
0.57500001,0.00043948317,C-EPIC-0.6kV,0.277,fractionInTransverseRms,0,0.4,CDL
0.58500001,0.00061527643,C-EPIC-0.6kV,0.277,fractionInTransverseRms,0,0.4,CDL
0.59500001,0.00035158653,C-EPIC-0.6kV,0.277,fractionInTransverseRms,0,0.4,CDL
0.60500001,0,C-EPIC-0.6kV,0.277,fractionInTransverseRms,0,0.4,CDL
0.61500001,0.00043948317,C-EPIC-0.6kV,0.277,fractionInTransverseRms,0,0.4,CDL
0.62500001,0,C-EPIC-0.6kV,0.277,fractionInTransverseRms,0,0.4,CDL
0.63500001,0.00035158653,C-EPIC-0.6kV,0.277,fractionInTransverseRms,0,0.4,CDL
0.64500001,8.7896634e-05,C-EPIC-0.6kV,0.277,fractionInTransverseRms,0,0.4,CDL
0.65500001,0,C-EPIC-0.6kV,0.277,fractionInTransverseRms,0,0.4,CDL
0.66500001,0,C-EPIC-0.6kV,0.277,fractionInTransverseRms,0,0.4,CDL
0.67500001,8.7896634e-05,C-EPIC-0.6kV,0.277,fractionInTransverseRms,0,0.4,CDL
0.68500001,8.7896634e-05,C-EPIC-0.6kV,0.277,fractionInTransverseRms,0,0.4,CDL
0.69500001,0,C-EPIC-0.6kV,0.277,fractionInTransverseRms,0,0.4,CDL
0.70500001,0,C-EPIC-0.6kV,0.277,fractionInTransverseRms,0,0.4,CDL
0.71500001,0,C-EPIC-0.6kV,0.277,fractionInTransverseRms,0,0.4,CDL
0.72500001,0,C-EPIC-0.6kV,0.277,fractionInTransverseRms,0,0.4,CDL
0.73500001,0,C-EPIC-0.6kV,0.277,fractionInTransverseRms,0,0.4,CDL
0.74500001,0,C-EPIC-0.6kV,0.277,fractionInTransverseRms,0,0.4,CDL
0.75500001,0,C-EPIC-0.6kV,0.277,fractionInTransverseRms,0,0.4,CDL
0.76500001,0,C-EPIC-0.6kV,0.277,fractionInTransverseRms,0,0.4,CDL
0.77500001,0,C-EPIC-0.6kV,0.277,fractionInTransverseRms,0,0.4,CDL
0.78500001,0,C-EPIC-0.6kV,0.277,fractionInTransverseRms,0,0.4,CDL
0.79500001,0,C-EPIC-0.6kV,0.277,fractionInTransverseRms,0,0.4,CDL
-0.0049999999,0.0097055969,Cu-EPIC-0.9kV,0.525,fractionInTransverseRms,0.4,0.7,CDL
0.0050000003,0,Cu-EPIC-0.9kV,0.525,fractionInTransverseRms,0.4,0.7,CDL
0.015,0,Cu-EPIC-0.9kV,0.525,fractionInTransverseRms,0.4,0.7,CDL
0.025000001,0.00053919983,Cu-EPIC-0.9kV,0.525,fractionInTransverseRms,0.4,0.7,CDL
0.035000001,0.0029116791,Cu-EPIC-0.9kV,0.525,fractionInTransverseRms,0.4,0.7,CDL
0.045000001,0.0042057587,Cu-EPIC-0.9kV,0.525,fractionInTransverseRms,0.4,0.7,CDL
0.055000001,0.0065782379,Cu-EPIC-0.9kV,0.525,fractionInTransverseRms,0.4,0.7,CDL
0.065000001,0.0072252777,Cu-EPIC-0.9kV,0.525,fractionInTransverseRms,0.4,0.7,CDL
0.075000001,0.0079801574,Cu-EPIC-0.9kV,0.525,fractionInTransverseRms,0.4,0.7,CDL
0.085000001,0.009274237,Cu-EPIC-0.9kV,0.525,fractionInTransverseRms,0.4,0.7,CDL
0.095000002,0.0083036773,Cu-EPIC-0.9kV,0.525,fractionInTransverseRms,0.4,0.7,CDL
0.105,0.011970236,Cu-EPIC-0.9kV,0.525,fractionInTransverseRms,0.4,0.7,CDL
0.115,0.019411194,Cu-EPIC-0.9kV,0.525,fractionInTransverseRms,0.4,0.7,CDL
0.125,0.012185916,Cu-EPIC-0.9kV,0.525,fractionInTransverseRms,0.4,0.7,CDL
0.135,0.019626874,Cu-EPIC-0.9kV,0.525,fractionInTransverseRms,0.4,0.7,CDL
0.145,0.018332794,Cu-EPIC-0.9kV,0.525,fractionInTransverseRms,0.4,0.7,CDL
0.155,0.013803516,Cu-EPIC-0.9kV,0.525,fractionInTransverseRms,0.4,0.7,CDL
0.165,0.03062655,Cu-EPIC-0.9kV,0.525,fractionInTransverseRms,0.4,0.7,CDL
0.175,0.024371832,Cu-EPIC-0.9kV,0.525,fractionInTransverseRms,0.4,0.7,CDL
0.185,0.03116575,Cu-EPIC-0.9kV,0.525,fractionInTransverseRms,0.4,0.7,CDL
0.195,0.03084223,Cu-EPIC-0.9kV,0.525,fractionInTransverseRms,0.4,0.7,CDL
0.205,0.033861749,Cu-EPIC-0.9kV,0.525,fractionInTransverseRms,0.4,0.7,CDL
0.215,0.03019519,Cu-EPIC-0.9kV,0.525,fractionInTransverseRms,0.4,0.7,CDL
0.225,0.029332471,Cu-EPIC-0.9kV,0.525,fractionInTransverseRms,0.4,0.7,CDL
0.235,0.039577267,Cu-EPIC-0.9kV,0.525,fractionInTransverseRms,0.4,0.7,CDL
0.245,0.048096625,Cu-EPIC-0.9kV,0.525,fractionInTransverseRms,0.4,0.7,CDL
0.255,0.02987167,Cu-EPIC-0.9kV,0.525,fractionInTransverseRms,0.4,0.7,CDL
0.265,0.034400949,Cu-EPIC-0.9kV,0.525,fractionInTransverseRms,0.4,0.7,CDL
0.275,0.025989432,Cu-EPIC-0.9kV,0.525,fractionInTransverseRms,0.4,0.7,CDL
0.285,0.047773105,Cu-EPIC-0.9kV,0.525,fractionInTransverseRms,0.4,0.7,CDL
0.295,0.037204788,Cu-EPIC-0.9kV,0.525,fractionInTransverseRms,0.4,0.7,CDL
0.305,0.028901111,Cu-EPIC-0.9kV,0.525,fractionInTransverseRms,0.4,0.7,CDL
0.315,0.038067508,Cu-EPIC-0.9kV,0.525,fractionInTransverseRms,0.4,0.7,CDL
0.325,0.052086703,Cu-EPIC-0.9kV,0.525,fractionInTransverseRms,0.4,0.7,CDL
0.335,0.0070095978,Cu-EPIC-0.9kV,0.525,fractionInTransverseRms,0.4,0.7,CDL
0.34500001,0.03138143,Cu-EPIC-0.9kV,0.525,fractionInTransverseRms,0.4,0.7,CDL
0.35500001,0.026959991,Cu-EPIC-0.9kV,0.525,fractionInTransverseRms,0.4,0.7,CDL
0.36500001,0.03019519,Cu-EPIC-0.9kV,0.525,fractionInTransverseRms,0.4,0.7,CDL
0.37500001,0.016823035,Cu-EPIC-0.9kV,0.525,fractionInTransverseRms,0.4,0.7,CDL
0.38500001,0.019842554,Cu-EPIC-0.9kV,0.525,fractionInTransverseRms,0.4,0.7,CDL
0.39500001,0.018440634,Cu-EPIC-0.9kV,0.525,fractionInTransverseRms,0.4,0.7,CDL
0.40500001,0.018979834,Cu-EPIC-0.9kV,0.525,fractionInTransverseRms,0.4,0.7,CDL
